product,period,forecast_type,adopted,method,value
Implanon,2025-01-01,Main,Consumption Excel,Service Excel,28505
Implanon,2025-01-01,Main,Consumption Excel,Service AI,33522
Implanon,2025-01-01,Main,Consumption Excel,Consumption Excel,34103
Implanon,2025-01-01,Main,Consumption Excel,Consumption AI,29073
Implanon,2025-01-01,Main,Consumption Excel,Demographic,28113
Implanon,2025-01-01,Main,Consumption Excel,Consumption LMIS,NA
Implanon,2025-02-01,Main,Consumption Excel,Actual Consumption,24780
Implanon,2025-02-01,Main,Consumption Excel,Service Excel,28505
Implanon,2025-02-01,Main,Consumption Excel,Service AI,33522
Implanon,2025-02-01,Main,Consumption Excel,Consumption Excel,34103
Implanon,2025-02-01,Main,Consumption Excel,Consumption AI,29073
Implanon,2025-02-01,Main,Consumption Excel,Demographic,28113
Implanon,2025-02-01,Main,Consumption Excel,Consumption LMIS,NA
Implanon,2025-03-01,Main,Consumption Excel,Actual Consumption,23977
Implanon,2025-03-01,Main,Consumption Excel,Service Excel,28505
Implanon,2025-03-01,Main,Consumption Excel,Service AI,33522
Implanon,2025-03-01,Main,Consumption Excel,Consumption Excel,34103
Implanon,2025-03-01,Main,Consumption Excel,Consumption AI,29073
Implanon,2025-03-01,Main,Consumption Excel,Demographic,28113
Implanon,2025-03-01,Main,Consumption Excel,Consumption LMIS,NA
Implanon,2025-04-01,Main,Consumption Excel,Actual Consumption,33025
Implanon,2025-04-01,Main,Consumption Excel,Service Excel,28505
Implanon,2025-04-01,Main,Consumption Excel,Service AI,33522
Implanon,2025-04-01,Main,Consumption Excel,Consumption Excel,34103
Implanon,2025-04-01,Main,Consumption Excel,Consumption AI,29073
Implanon,2025-04-01,Main,Consumption Excel,Demographic,28113
Implanon,2025-04-01,Main,Consumption Excel,Consumption LMIS,NA
Implanon,2025-05-01,Main,Consumption Excel,Actual Consumption,28804
Implanon,2025-05-01,Main,Consumption Excel,Service Excel,28505
Implanon,2025-05-01,Main,Consumption Excel,Service AI,33522
Implanon,2025-05-01,Main,Consumption Excel,Consumption Excel,34103
Implanon,2025-05-01,Main,Consumption Excel,Consumption AI,29073
Implanon,2025-05-01,Main,Consumption Excel,Demographic,28113
Implanon,2025-05-01,Main,Consumption Excel,Consumption LMIS,NA
Implanon,2025-06-01,Main,Consumption Excel,Actual Consumption,29200
Implanon,2025-06-01,Main,Consumption Excel,Service Excel,28505
Implanon,2025-06-01,Main,Consumption Excel,Service AI,33522
Implanon,2025-06-01,Main,Consumption Excel,Consumption Excel,34103
